tag,pep_no,7010,7447,7448,7855,7853,7852,7449,#wbpos,#pbmcpos,8740,8742,8743,8744,wbmean
Mb0741_228,#219,0.07,0.055,0.205,0.056,0.093,0.12,0.0855,0,1,0.046,0.0525,0.0605,-0.0025,0.039125
Mb0780_202,#61,0.066,0.0555,0.201,0.058,0.092,0.3455,0.079,0,1,0.0485,0.0535,0.0575,-0.01,0.037375
Mb0780_203,#166,0.1755,0.0535,0.059,0.06,0.18,0.185,0.07,3,3,0.265,0.446,0.587,0.0365,0.333625
Mb0780_204,#71,0.063,0.052,0.06,0.059,0.103,0.117,0.0705,2,0,0.0735,0.199,0.17,-0.0115,0.10775
Mb0780_205,#69,0.0605,0.054,0.082,0.061,0.075,0.1475,0.0735,0,1,0.0475,0.0615,0.0615,-0.007,0.040875
Mb0877_250,#129,0.0995,0.054,0.112,0.057,0.084,0.084,0.0725,0,0,0.048,0.048,0.0555,0.0005,0.038
Mb1045c_283,#172,0.06,0.0865,0.051,0.054,0.074,0.093,0.0685,2,0,0.2715,0.252,0.139,0.0165,0.16975
Mb1045c_284,#220,0.084,0.0535,0.181,0.059,0.126,0.111,0.071,0,0,0.0465,0.06,0.061,0,0.041875
Mb1269_127,#154,0.1645,0.0535,0.205,0.063,0.106,0.1225,0.0675,0,1,0.082,0.0575,0.064,0.0085,0.053
Mb1270_45,#89,0.0585,0.0585,0.179,0.071,0.093,0.2405,0.0875,0,3,0.057,0.1505,0.123,-0.0055,0.08125
Mb1270_52,#44,0.0785,0.055,0.091,0.063,0.09,0.1105,0.0695,0,0,0.044,0.0495,0.052,-0.009,0.034125
Mb1271c_110,#87,0.153,0.589,1.126,0.103,0.302,0.956,0.4675,2,7,0.048,0.2305,0.4175,0.006,0.1755
Mb1271c_137,#225,0.059,0.05,0.072,0.058,0.092,0.1645,0.0685,1,1,0.0465,0.1365,0.166,-0.0015,0.086875
Mb1272_257,#156,0.1855,0.2365,0.132,0.062,0.332,0.3635,0.075,3,4,0.4,0.476,0.19,0.078,0.286
Mb1277c_149,#54,0.0705,0.051,0.31,0.06,0.086,0.134,0.0705,0,1,0.0465,0.059,0.0665,-0.012,0.04
Mb1290_59,#221,0.0675,0.0505,0.138,0.062,0.084,0.089,0.071,0,0,0.045,0.056,0.0665,-0.0005,0.04175
Mb1298c_82,#84,0.082,0.0575,0.345,0.063,0.096,0.18,0.1055,1,3,0.0505,0.107,0.483,-0.005,0.158875
Mb1320_187,#31,0.0765,0.081,1.312,0.061,0.097,0.176,0.0725,0,2,0.0595,0.0535,0.052,-0.0105,0.038625
Mb1328_11,#202,0.073,0.0515,0.076,0.057,0.101,0.2595,0.0745,0,1,0.051,0.057,0.064,-0.002,0.0425
Mb1371_36,#250,0.251,0.0525,0.708,0.083,0.686,0.7915,0.074,4,5,0.8265,2.2675,1.445,0.2965,1.208875
