tag,8740_val,8742_val,8743_val,8744_val,8740,8742,8743,8744,#pos
Mb3025_271,0.0495,0.062,0.067,-0.0015,-,-,-,-,0
Mb3025_272,0.066,0.06,0.076,0.0075,-,-,-,-,0
Mb3025_273,0.058,0.0535,0.056,-0.0065,-,-,-,-,0
Mb3066c_128,0.0475,0.105,0.0755,0.0005,-,-,-,-,0
Mb3066c_22,0.0505,0.0535,0.0885,-0.015,-,-,-,-,0
Mb3071_87,0.088,0.248,0.119,-0.011,-,positive,-,-,1
Mb3098_89,0.0915,0.2655,0.4875,-0.0125,-,positive,positive,-,2
Mb3121c_53,0.0465,0.052,0.053,-0.013,-,-,-,-,0
Mb3131c_141,0.057,0.0555,0.0795,-0.0135,-,-,-,-,0
Mb3132c_125,0.0585,0.352,0.237,-0.0045,-,positive,positive,-,2
Mb3167_274,0.045,0.0495,0.063,-0.0075,-,-,-,-,0
Mb3167_275,0.0455,0.055,0.0545,-0.0105,-,-,-,-,0
Mb3170_83,0.3185,0.6555,0.3745,0.006,positive,positive,positive,-,3
Mb3171_126,0.045,0.1065,0.0615,0.0035,-,-,-,-,0
Mb3178_123,0.8025,1.3955,1.5315,0.174,positive,positive,positive,positive,4
Mb3186c_6,0.046,0.2325,0.333,-0.0015,-,positive,positive,-,2
Mb3193_111,0.049,0.0935,0.0585,-0.013,-,-,-,-,0
Mb3223_63,1.117,1.736,2.0845,0.271,positive,positive,positive,positive,4
Mb3225c_35,0.047,0.051,0.0555,-0.002,-,-,-,-,0
Mb3228_20,0.047,0.0605,0.0615,-0.004,-,-,-,-,0
Mb3241_58,0.271,0.866,0.8765,0.0335,positive,positive,positive,-,3
Mb3244_42,0.106,0.233,0.5135,-0.004,-,positive,positive,-,2
Mb3259c_16,0.0545,0.3435,0.1615,0.0055,-,positive,positive,-,2
Mb3269c_55,0.0455,0.053,0.06,-0.007,-,-,-,-,0
Mb3274c_223,0.941,1.131,1.5465,0.219,positive,positive,positive,positive,4
Mb3274c_224,0.0475,0.1485,0.118,-0.01,-,-,-,-,0
Mb3275c_147,0.0475,0.1305,0.091,0.0005,-,-,-,-,0
Mb3275c_181,0.2005,0.5265,0.433,-0.0015,positive,positive,positive,-,3
Mb3300_37,0.776,2.6,1.9205,0.2535,positive,positive,positive,positive,4
Mb3302c_10,0.083,0.0675,0.0895,-0.0015,-,-,-,-,0
Mb3305_146,0.148,0.061,0.0635,0,-,-,-,-,0
Mb3329c_142,0.057,0.081,0.062,-0.0015,-,-,-,-,0
