,"strain","sample_title","organism","isolate","host","isolation_source","collection_date","year","county","province","host_tissue_sampled","country","status","clade","BioSample","BioProject","id","AssemblyAccession","BioSampleAccn","BioSampleId","SubmitterOrganization","geo_loc_name","region","species","ST"
"SRR17119199","MP0006_SUK",,,,,,,,,,,"Canada",,,"SAMN23599373","PRJNA785928",,,,,,,"North America",,
"SRR17119200","MPLM1053",,,,,,,,,,,"USA",,,"SAMN23599399","PRJNA785928",,,,,,,"North America",,
"SRR17119201","MPLM1051",,,,,,,,,,,"USA",,,"SAMN23599398","PRJNA785928",,,,,,,"North America",,
"SRR17119202","MPLM1048",,,,,,,,,,,"USA",,,"SAMN23599397","PRJNA785928",,,,,,,"North America",,
"SRR17119203","MPLM1047",,,,,,,,,,,"USA",,,"SAMN23599396","PRJNA785928",,,,,,,"North America",,
"SRR17119204","MPLM1046",,,,,,,,,,,"USA",,,"SAMN23599395","PRJNA785928",,,,,,,"North America",,
"SRR17119205","MPLM1045",,,,,,,,,,,"USA",,,"SAMN23599394","PRJNA785928",,,,,,,"North America",,
"SRR17119206","MPLM1027",,,,,,,,,,,"Canada",,,"SAMN23599393","PRJNA785928",,,,,,,"North America",,
"SRR17119207","MPLM0918",,,,,,,,,,,"Canada",,,"SAMN23599392","PRJNA785928",,,,,,,"North America",,
"SRR17119208","MPLM0137",,,,,,,,,,,"Canada",,,"SAMN23599391","PRJNA785928",,,,,,,"North America",,
"SRR17119209","MPLM0094",,,,,,,,,,,"Canada",,,"SAMN23599390","PRJNA785928",,,,,,,"North America",,
"SRR17119210","MP0005_TUD",,,,,,,,,,,"Canada",,,"SAMN23599372","PRJNA785928",,,,,,,"North America",,
"SRR17119211","MPLM0085",,,,,,,,,,,"Canada",,,"SAMN23599389","PRJNA785928",,,,,,,"North America",,
"SRR17119212","MPLM0084",,,,,,,,,,,"Canada",,,"SAMN23599388","PRJNA785928",,,,,,,"North America",,
"SRR17119213","MPLM0064",,,,,,,,,,,"Canada",,,"SAMN23599387","PRJNA785928",,,,,,,"North America",,
"SRR17119214","MPLM0046",,,,,,,,,,,"Canada",,,"SAMN23599386","PRJNA785928",,,,,,,"North America",,
"SRR17119215","MPLM0043",,,,,,,,,,,"Canada",,,"SAMN23599385","PRJNA785928",,,,,,,"North America",,
"SRR17119216","MP0183_TJ",,,,,,,,,,,"Canada",,,"SAMN23599384","PRJNA785928",,,,,,,"North America",,
"SRR17119217","MP0077_TL",,,,,,,,,,,"Canada",,,"SAMN23599383","PRJNA785928",,,,,,,"North America",,
"SRR17119218","MP0075_TL",,,,,,,,,,,"Canada",,,"SAMN23599382","PRJNA785928",,,,,,,"North America",,
"SRR17119219","MP0073_TL",,,,,,,,,,,"Canada",,,"SAMN23599381","PRJNA785928",,,,,,,"North America",,
"SRR17119220","MP0071_TL",,,,,,,,,,,"Canada",,,"SAMN23599380","PRJNA785928",,,,,,,"North America",,
"SRR17119221","MP0004_TUD",,,,,,,,,,,"Canada",,,"SAMN23599371","PRJNA785928",,,,,,,"North America",,
"SRR17119222","MP0003_U",,,,,,,,,,,"Canada",,,"SAMN23599370","PRJNA785928",,,,,,,"North America",,
"ERR338974","SAMEA2063514",,,,,,,,,,,,,,"SAMEA2063514","PRJEB3408",,,,,,,,,
"ERR338975","SAMEA2063515",,,,,,,,,,,,,,"SAMEA2063515","PRJEB3408",,,,,,,,,
"ERR338976","SAMEA2063516",,,,,,,,,,,,,,"SAMEA2063516","PRJEB3408",,,,,,,,,
"ERR338977","SAMEA2063517",,,,,,,,,,,,,,"SAMEA2063517","PRJEB3408",,,,,,,,,
"ERR338978","SAMEA2063518",,,,,,,,,,,,,,"SAMEA2063518","PRJEB3408",,,,,,,,,
"ERR338979","SAMEA2063519",,,,,,,,,,,,,,"SAMEA2063519","PRJEB3408",,,,,,,,,
